Note,Octave,Frequency
A,0,27.5937890625
B,0,31.0430126953125
C,0,16.351875
D,0,18.395859375
E,0,20.695341796875
F,0,23.282259521484374
G,0,24.5278125
A,1,55.187578125
B,1,62.086025390625
C,1,32.70375
D,1,36.79171875
E,1,41.39068359375
F,1,46.56451904296875
G,1,49.055625
A,2,110.37515625
B,2,124.17205078125
C,2,65.4075
D,2,73.5834375
E,2,82.7813671875
F,2,93.1290380859375
G,2,98.11125
A,3,220.7503125
B,3,248.3441015625
C,3,130.815
D,3,147.166875
E,3,165.562734375
F,3,186.258076171875
G,3,196.2225
A,4,441.500625
B,4,496.688203125
C,4,261.63
D,4,294.33375
E,4,331.12546875
F,4,372.51615234375
G,4,392.445
A,5,883.00125
B,5,993.37640625
C,5,523.26
C,5,558.7742285156249
D,5,588.6675
E,5,662.2509375
F,5,745.0323046875
G,5,784.89
A,6,1766.0025
B,6,1986.7528125
C,6,1046.52
D,6,1177.335
E,6,1324.501875
F,6,1490.064609375
G,6,1569.78
A,7,3532.005
B,7,3973.505625
C,7,2093.04
D,7,2354.67
E,7,2649.00375
F,7,2980.12921875
G,7,3139.56
A,8,7064.01
B,8,7947.01125
C,8,4186.08
D,8,4709.34
E,8,5298.0075
F,8,5960.2584375
G,8,6279.12
